"date","area_type","area_code","area_name","metric","metric_name","value"
"2020-08-29","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","21.8"
"2020-09-05","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-09-12","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","72.6"
"2020-09-19","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","108.9"
"2020-09-26","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","72.6"
"2020-10-03","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","167"
"2020-10-10","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","108.9"
"2020-10-17","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","268.6"
"2020-10-24","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","174.2"
"2020-10-31","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","312.2"
"2020-11-07","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","210.5"
"2020-11-14","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","450.1"
"2020-11-21","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","450.1"
"2020-11-28","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","370.2"
"2020-12-05","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","377.5"
"2020-12-12","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","508.2"
"2020-12-19","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","1451.9"
"2020-12-26","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","1277.7"
"2021-01-02","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","1749.5"
"2021-01-09","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","1575.3"
"2021-01-16","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","675.1"
"2021-01-23","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","769.5"
"2021-01-30","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","392"
"2021-02-06","msoa","E02006924","Valentines-Park-&-Cranbrook","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","246.8"
