"date","area_type","area_code","area_name","metric","metric_name","value"
"2022-06-04","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","102.2"
"2022-06-11","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","56.8"
"2022-06-18","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","45.4"
"2022-06-25","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","181.7"
"2022-07-02","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","329.4"
"2022-07-09","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","408.9"
"2022-07-16","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","249.9"
"2022-07-23","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","261.2"
"2022-07-30","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","68.1"
"2022-08-06","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2022-08-13","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","68.1"
"2022-08-20","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2022-08-27","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","56.8"
"2022-09-03","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2022-09-10","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","34.1"
"2022-09-17","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","79.5"
"2022-09-24","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2022-10-01","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","45.4"
"2022-10-08","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","147.6"
"2022-10-15","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","181.7"
"2022-10-22","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","56.8"
"2022-10-29","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","102.2"
"2022-11-05","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2022-11-12","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","56.8"
"2022-11-19","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","45.4"
"2022-11-26","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","45.4"
"2022-12-03","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","90.9"
"2022-12-10","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","113.6"
"2022-12-17","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","113.6"
"2022-12-24","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","249.9"
"2022-12-31","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","90.9"
"21/11/2020","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","68.1"
"22/08/2020","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"23/05/2020","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"24/10/2020","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","90.9"
"25/04/2020","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"25/07/2020","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"26/09/2020","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"26/12/2020","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","68.1"
"27/06/2020","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"28/11/2020","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","45.4"
"29/08/2020","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"30/05/2020","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"31/10/2020","msoa","E02006093","Ilminster-&-Horton","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","34.1"
"01/08/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"02/05/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"03/10/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"04/04/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","67.2"
"04/07/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"05/09/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"05/12/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","259.2"
"06/06/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"07/11/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","268.8"
"08/08/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"09/05/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"10/10/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","67.2"
"11/04/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"11/07/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"12/09/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"12/12/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","144"
"13/06/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"14/11/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","268.8"
"15/08/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"16/05/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"17/10/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","96"
"18/04/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","28.8"
"18/07/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"19/09/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"19/12/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","192"
"20/06/2020","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","null"
"2020-06-06","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-06-13","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-06-20","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-06-27","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-07-04","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-07-11","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-07-18","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-07-25","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-08-01","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-08-08","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-08-15","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-08-22","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-08-29","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-09-05","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-09-12","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-09-19","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-09-26","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-10-03","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date",NA
"2020-10-10","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","67.2"
"2020-10-17","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","96"
"2020-10-24","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","134.4"
"2020-10-31","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","192"
"2020-11-07","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","268.8"
"2020-11-14","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","268.8"
"2020-11-21","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","144"
"2020-11-28","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","163.2"
"2020-12-05","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","259.2"
"2020-12-12","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","144"
"2020-12-19","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","192"
"2020-12-26","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","38.4"
"2021-01-02","msoa","E02002726","Immingham-&-Habrough","newCasesBySpecimenDateRollingRate","New-cases-by-specimen-date","134.4"
